image_id,true_label,pred_label,confidence
0,7,7,2.50578
1,2,2,1.93659
2,1,1,1.02315
3,0,0,2.31648
4,4,4,2.34318
5,1,1,1.38475
6,4,4,1.32033
7,9,9,2.31348
8,5,5,1.87642
9,9,9,3.41023
10,0,0,3.87027
11,6,6,3.54613
12,9,9,2.98506
13,0,0,2.66412
14,1,8,1.17649
15,5,5,1.27017
16,9,9,3.29243
17,7,7,3.10772
18,3,8,0.970405
19,4,4,2.69515
20,9,9,3.40392
21,6,6,3.12981
22,6,6,2.45592
23,5,5,1.9347
24,4,4,1.77599
25,0,0,2.6359
26,7,7,1.82232
27,4,4,3.57657
28,0,0,2.79619
29,1,8,0.977788
30,3,3,3.7362
31,1,8,0.746346
32,3,3,3.43758
33,4,4,1.83238
34,7,7,2.50537
35,2,2,2.71646
36,7,7,1.85649
37,1,1,1.38255
38,2,2,1.32659
39,1,1,1.16293
40,1,1,0.869587
41,7,7,1.25507
42,4,4,2.43577
43,2,2,1.2132
44,3,3,1.56265
45,5,5,1.24345
46,1,8,1.03798
47,2,2,2.32179
48,4,4,2.21667
49,4,4,3.67078
50,6,6,3.13775
51,3,3,2.76595
52,5,5,2.09662
53,5,8,0.999099
54,6,6,3.59064
55,0,0,3.50519
56,4,4,3.9375
57,1,1,0.988137
58,9,9,3.27654
59,5,5,0.593725
60,7,7,3.25902
61,8,8,3.19284
62,9,9,1.78679
63,3,3,1.7594
64,7,7,3.55694
65,4,4,1.89022
66,6,6,2.07467
67,4,4,2.77836
68,3,3,2.74214
69,0,0,2.66944
70,7,7,2.65581
71,0,0,4.31243
72,2,2,2.30398
73,9,9,2.44842
74,1,1,1.32658
75,7,7,2.45759
76,3,3,2.57861
77,2,2,2.07466
78,9,9,2.10718
79,7,7,2.68586
80,7,7,2.51725
81,6,6,3.30451
82,2,2,3.1951
83,7,7,2.40046
84,8,8,3.52296
85,4,4,3.00508
86,7,7,2.68049
87,3,3,2.11319
88,6,6,3.7046
89,1,1,0.751194
90,3,3,3.32876
91,6,6,3.28217
92,9,9,1.815
93,3,3,2.42113
94,1,8,1.40348
95,4,4,1.23471
96,1,8,0.773265
97,7,7,2.24486
98,6,6,2.5883
99,9,9,3.35207
100,6,6,2.77643
101,0,0,3.0725
102,5,5,2.32127
103,4,4,3.71507
104,9,9,2.56942
105,9,9,3.00696
106,2,2,2.51476
107,1,8,0.492583
108,9,9,3.4509
109,4,4,2.8282
110,8,8,3.24595
111,7,7,0.882427
112,3,3,2.50798
113,9,9,3.42364
114,7,7,2.39766
115,4,9,0.815653
116,4,4,1.85516
117,4,4,3.20208
118,9,9,2.31173
119,2,2,1.46855
120,5,5,2.47476
121,4,4,1.5217
122,7,7,2.35752
123,6,6,2.84832
124,7,7,2.22041
125,9,9,2.05737
126,0,0,2.76302
127,5,5,3.09826
128,8,8,3.97285
129,5,5,2.94418
130,6,6,3.42608
131,6,6,4.34437
132,5,5,2.24796
133,7,7,3.24566
134,8,8,3.77131
135,1,1,1.65058
136,0,0,3.04783
137,1,1,0.892303
138,6,6,3.92676
139,4,4,1.33401
140,6,6,2.6086
141,7,7,2.86554
142,3,3,2.62879
143,1,1,1.41432
144,7,7,2.47636
145,1,1,1.16118
146,8,8,3.58915
147,2,2,2.67602
148,0,0,2.93762
149,2,9,1.02164
150,9,9,3.01249
151,9,8,2.30813
152,5,5,2.52234
153,5,8,1.40879
154,1,1,1.34297
155,5,5,2.89821
156,6,6,4.03865
157,0,0,2.81837
158,3,3,1.59807
159,4,4,1.08052
160,4,8,1.07146
161,6,6,2.93668
162,5,5,4.30102
163,4,4,3.5281
164,6,6,3.34993
165,5,5,2.24345
166,4,4,2.76544
167,5,8,-0.0740363
168,1,1,1.57434
169,4,4,3.16393
170,4,4,3.04306
171,7,7,2.13817
172,2,2,2.37685
173,3,3,2.10886
174,2,2,2.03452
175,7,9,1.08895
176,1,1,1.19646
177,8,8,2.46858
178,1,1,1.71425
179,8,8,3.21946
180,1,1,1.51328
181,8,8,3.12973
182,5,5,1.3427
183,0,0,4.12115
184,8,8,1.85558
185,9,9,2.35874
186,2,2,2.54221
187,5,5,2.31228
188,0,0,3.19619
189,1,8,0.753701
190,1,8,1.10457
191,1,8,0.754362
192,0,0,2.60424
193,9,9,2.2524
194,0,0,2.94032
195,3,3,1.16611
196,1,1,1.19585
197,6,6,3.87477
198,4,4,2.76057
199,2,2,2.00794
200,3,3,2.4587
201,6,6,3.36456
202,1,1,0.920225
203,1,1,1.1422
204,1,1,0.992513
205,3,3,2.59174
206,9,9,2.716
207,5,5,0.946221
208,2,2,2.36563
209,9,9,2.57765
210,4,4,3.37738
211,5,3,1.87386
212,9,9,2.90613
213,3,3,2.26485
214,9,9,2.61618
215,0,0,2.29901
216,3,3,4.24916
217,6,6,2.81688
218,5,5,1.38228
219,5,5,1.96736
220,7,7,2.29907
221,2,2,1.19159
222,2,2,2.84703
223,7,7,2.64818
224,1,8,0.514032
225,2,2,2.33068
226,8,8,2.54449
227,4,4,1.86018
228,1,1,0.795825
229,7,9,1.385
230,3,3,2.0821
231,3,3,2.00932
232,8,8,2.9904
233,8,8,3.48096
234,7,7,1.3309
235,9,9,2.43052
236,2,2,3.42729
237,2,2,2.23208
238,4,4,3.16368
239,1,1,1.25506
240,5,5,2.20414
241,9,9,1.97773
242,8,8,3.07529
