batch_idx,images_in_batch,h2d_ms,cnn_ms,pool_ms,fc_ms,d2h_ms,total_batch_ms
0,128,0.046464,0.51008,0.029088,0.0552,0.012992,0.73824
1,128,0.042368,0.14416,0.01584,0.045696,0.034496,0.350784
2,128,0.059296,0.144256,0.026688,0.047104,0.010816,0.404448
3,128,0.042816,0.145408,0.014208,0.06144,0.026592,0.356544
4,128,0.05888,0.141792,0.012896,0.061312,0.010304,0.350304
5,128,0.059168,0.142048,0.01312,0.061376,0.026784,0.365184
6,128,0.059008,0.142144,0.013248,0.060576,0.02704,0.36656
7,128,0.05872,0.141344,0.01408,0.05984,0.026368,0.367392
8,128,0.05888,0.142592,0.01392,0.06144,0.026176,0.367104
9,128,0.057472,0.14224,0.014144,0.059872,0.025856,0.372928
10,128,0.060608,0.163328,0.016288,0.046176,0.017312,0.389536
11,128,0.06064,0.146752,0.01552,0.043008,0.027264,0.361728
12,128,0.0568,0.141568,0.01392,0.05952,0.025632,0.362976
13,128,0.059552,0.14224,0.013952,0.044128,0.0272,0.351104
14,128,0.058016,0.14256,0.01328,0.060224,0.026016,0.365504
15,128,0.05792,0.143168,0.014048,0.061184,0.02944,0.368288
16,128,0.058208,0.142592,0.013152,0.06288,0.026752,0.36624
17,128,0.058976,0.141408,0.013504,0.061184,0.024,0.366592
18,128,0.0584,0.142176,0.013056,0.06176,0.027072,0.366848
19,128,0.058304,0.14176,0.012928,0.043712,0.0264,0.350112
20,128,0.059072,0.142304,0.014112,0.061408,0.025952,0.365792
21,128,0.058496,0.142528,0.012928,0.059872,0.02784,0.366656
22,128,0.057792,0.141952,0.013632,0.060896,0.026752,0.371968
23,128,0.058976,0.14256,0.013984,0.06176,0.027968,0.37008
24,128,0.058432,0.141824,0.013408,0.061504,0.02688,0.367264
25,128,0.05904,0.142272,0.012512,0.061824,0.027904,0.36768
26,128,0.058048,0.142528,0.015136,0.0456,0.026816,0.372352
27,128,0.058208,0.14288,0.013632,0.043232,0.02624,0.393728
28,128,0.045056,0.146624,0.020032,0.046432,0.030816,0.381248
29,128,0.058656,0.145664,0.01568,0.046816,0.015712,0.369472
30,128,0.043072,0.144928,0.016288,0.045664,0.016064,0.340064
31,128,0.061824,0.14448,0.013184,0.045088,0.016192,0.354144
32,128,0.060576,0.144128,0.016224,0.043008,0.015872,0.353152
33,128,0.060704,0.145184,0.015712,0.046272,0.016192,0.356352
34,128,0.061664,0.14416,0.016384,0.04608,0.015744,0.358944
35,128,0.042656,0.145216,0.01584,0.045792,0.015712,0.337984
36,128,0.060352,0.144448,0.0152,0.046432,0.017312,0.355936
37,128,0.100288,0.143712,0.016224,0.046176,0.033664,0.413504
38,128,0.044096,0.145984,0.016352,0.047008,0.01632,0.351488
39,128,0.041792,0.145632,0.015936,0.045056,0.015872,0.33632
40,128,0.04176,0.148576,0.016224,0.046336,0.01632,0.339968
41,128,0.061504,0.145344,0.016192,0.046752,0.029472,0.37248
42,128,0.060448,0.145248,0.016192,0.045632,0.015808,0.355552
43,128,0.06032,0.144224,0.01568,0.043008,0.02896,0.36416
44,128,0.060128,0.144064,0.02048,0.04528,0.0144,0.385056
45,128,0.041696,0.14944,0.014112,0.043008,0.025568,0.33584
46,128,0.056704,0.140736,0.012512,0.059392,0.022432,0.361568
47,128,0.05888,0.14112,0.012896,0.060416,0.025792,0.363616
48,128,0.057856,0.14128,0.01312,0.061344,0.026656,0.362048
49,128,0.057888,0.142592,0.013984,0.05968,0.025888,0.365984
50,128,0.05792,0.141312,0.013056,0.06128,0.026592,0.363648
51,128,0.05776,0.141952,0.0144,0.059584,0.02656,0.363232
52,128,0.056064,0.140608,0.013056,0.057824,0.024992,0.356256
53,128,0.058112,0.141728,0.013696,0.058944,0.026016,0.35968
54,128,0.058144,0.141632,0.013792,0.059392,0.026784,0.36592
55,128,0.056512,0.140352,0.0128,0.043008,0.024512,0.36592
56,128,0.057472,0.141088,0.015808,0.04336,0.026272,0.359232
57,128,0.057984,0.141952,0.012512,0.06144,0.025856,0.363552
58,128,0.058272,0.141632,0.014272,0.06112,0.025952,0.361984
59,128,0.057824,0.14128,0.013472,0.060128,0.025824,0.362912
60,128,0.057536,0.140704,0.01344,0.060192,0.02592,0.360672
61,128,0.057792,0.142304,0.013696,0.059936,0.02608,0.36144
62,128,0.08,0.14768,0.02048,0.043264,0.026912,0.401056
63,128,0.042176,0.142336,0.013152,0.058144,0.025216,0.350304
64,128,0.056928,0.140064,0.014016,0.057504,0.024896,0.35904
65,128,0.0584,0.144256,0.014048,0.060608,0.02592,0.364128
66,128,0.058592,0.1416,0.013184,0.043008,0.026016,0.36416
67,128,0.0576,0.14224,0.014176,0.060512,0.025696,0.361632
68,128,0.04288,0.14224,0.013248,0.04384,0.024416,0.350784
69,128,0.057984,0.14144,0.01296,0.043008,0.025536,0.363232
70,128,0.058432,0.142592,0.012448,0.059264,0.025952,0.361632
71,128,0.058848,0.14192,0.014176,0.043424,0.025632,0.3664
72,128,0.057664,0.140768,0.0136,0.05808,0.025536,0.35776
73,128,0.057984,0.141568,0.012736,0.043488,0.020352,0.341216
74,128,0.04384,0.147392,0.01568,0.043968,0.027328,0.358144
75,128,0.057664,0.142752,0.012416,0.060128,0.02576,0.362784
76,128,0.058112,0.141728,0.01424,0.0592,0.025824,0.361728
77,128,0.057376,0.141856,0.013088,0.044384,0.024896,0.364768
78,16,0.020832,0.042304,0.005056,0.037152,0.025792,0.175232
